# Time (s),Width (um),Depth (um),Cap (um)
0.000000000000000000e+00,1.440400000000000100e-04,1.033324741881617921e-04,6.471220962096201339e-05
1.629411764705882447e-07,1.440400000000000100e-04,1.033324741881617921e-04,6.471220962096201339e-05
3.258823529411764895e-07,1.440400000000000100e-04,1.033324741881617921e-04,6.471220962096201339e-05
4.888235294117648401e-07,1.440400000000000100e-04,1.033324741881617921e-04,6.471220962096201339e-05
6.517647058823529789e-07,1.440400000000000100e-04,1.033324741881617921e-04,6.471220962096201339e-05
8.147058823529412237e-07,1.440400000000000100e-04,1.033324741881617921e-04,6.471220962096201339e-05
9.776470588235292567e-07,1.440400000000000100e-04,1.033324741881617921e-04,6.471220962096201339e-05
1.140588235294117713e-06,1.437629999999999854e-04,1.031337578916460785e-04,6.458776306399860835e-05
1.303529411764705958e-06,1.437629999999999854e-04,1.031337578916460785e-04,6.458776306399860835e-05
1.466470588235294414e-06,1.440400000000000100e-04,1.033324741881617921e-04,6.471220962096201339e-05
1.629411764705882447e-06,1.440400000000000100e-04,1.033324741881617921e-04,6.471220962096201339e-05
1.792352941176470692e-06,1.440400000000000100e-04,1.033324741881617921e-04,6.471220962096201339e-05
1.955294117647059360e-06,1.440400000000000100e-04,1.033324741881617921e-04,6.471220962096201339e-05
2.118235294117647182e-06,1.440400000000000100e-04,1.033324741881617921e-04,6.471220962096201339e-05
2.281176470588235426e-06,1.440400000000000100e-04,1.033324741881617921e-04,6.471220962096201339e-05
2.444117647058824095e-06,1.440400000000000100e-04,1.033324741881617921e-04,6.471220962096201339e-05
2.607058823529411916e-06,1.440400000000000100e-04,1.033324741881617921e-04,6.471220962096201339e-05
2.770000000000000161e-06,1.440400000000000100e-04,1.033324741881617921e-04,6.471220962096201339e-05
2.932941176470588829e-06,1.440400000000000100e-04,1.033324741881617921e-04,6.471220962096201339e-05
3.095882352941177074e-06,1.440400000000000100e-04,1.033324741881617921e-04,6.471220962096201339e-05
3.258823529411764895e-06,1.440400000000000100e-04,1.033324741881617921e-04,6.471220962096201339e-05
3.421764705882353139e-06,1.440400000000000100e-04,1.033324741881617921e-04,6.471220962096201339e-05
3.584705882352941384e-06,1.440400000000000100e-04,1.033324741881617921e-04,6.471220962096201339e-05
3.747647058823530052e-06,1.440400000000000100e-04,1.033324741881617921e-04,6.471220962096201339e-05
3.910588235294118721e-06,1.440400000000000100e-04,1.033324741881617921e-04,6.471220962096201339e-05
4.073529411764706542e-06,1.440400000000000100e-04,1.033324741881617921e-04,6.471220962096201339e-05
4.236470588235294363e-06,1.440400000000000100e-04,1.033324741881617921e-04,6.471220962096201339e-05
4.399411764705883031e-06,1.440400000000000100e-04,1.033324741881617921e-04,6.471220962096201339e-05
4.562352941176470853e-06,1.440400000000000100e-04,1.033324741881617921e-04,6.471220962096201339e-05
4.725294117647060368e-06,1.440400000000000100e-04,1.033324741881617921e-04,6.471220962096201339e-05
4.888235294117648189e-06,1.440400000000000100e-04,1.033324741881617921e-04,6.471220962096201339e-05
5.051176470588236010e-06,1.440400000000000100e-04,1.033324741881617921e-04,6.471220962096201339e-05
5.214117647058823832e-06,1.440400000000000100e-04,1.033324741881617921e-04,6.471220962096201339e-05
5.377058823529411653e-06,1.440400000000000100e-04,1.033324741881617921e-04,6.471220962096201339e-05
5.539999999999999474e-06,1.440400000000000100e-04,1.033324741881617921e-04,6.471220962096201339e-05
5.702941176470588142e-06,1.440400000000000100e-04,1.033324741881617921e-04,6.471220962096201339e-05
5.865882352941176811e-06,1.440400000000000100e-04,1.033324741881617921e-04,6.471220962096201339e-05
6.028823529411765479e-06,1.440400000000000100e-04,1.033324741881617921e-04,6.471220962096201339e-05
6.191764705882354147e-06,1.440400000000000100e-04,1.033324741881617921e-04,6.471220962096201339e-05
6.354705882352941968e-06,1.440400000000000100e-04,1.033324741881617921e-04,6.471220962096201339e-05
6.517647058823529789e-06,1.443170000000000076e-04,1.035311904846774922e-04,6.483665617792540488e-05
6.680588235294116764e-06,1.443170000000000076e-04,1.035311904846774922e-04,6.483665617792540488e-05
6.843529411764706279e-06,1.443170000000000076e-04,1.035311904846774922e-04,6.483665617792540488e-05
7.006470588235294100e-06,1.440400000000000100e-04,1.033324741881617921e-04,6.471220962096201339e-05
7.169411764705882768e-06,1.440400000000000100e-04,1.033324741881617921e-04,6.471220962096201339e-05
7.332352941176471437e-06,1.440400000000000100e-04,1.033324741881617921e-04,6.471220962096201339e-05
7.495294117647060105e-06,1.440400000000000100e-04,1.033324741881617921e-04,6.471220962096201339e-05
7.658235294117648773e-06,1.440400000000000100e-04,1.033324741881617921e-04,6.471220962096201339e-05
7.821176470588234053e-06,1.440400000000000100e-04,1.033324741881617921e-04,6.471220962096201339e-05
7.984117647058822722e-06,1.440400000000000100e-04,1.033324741881617921e-04,6.471220962096201339e-05
8.147058823529411390e-06,1.440400000000000100e-04,1.033324741881617921e-04,6.471220962096201339e-05
8.310000000000000058e-06,1.440400000000000100e-04,1.033324741881617921e-04,6.471220962096201339e-05
8.472941176470588726e-06,1.440400000000000100e-04,1.033324741881617921e-04,6.471220962096201339e-05
8.635882352941175701e-06,1.440400000000000100e-04,1.033324741881617921e-04,6.471220962096201339e-05
8.798823529411766063e-06,1.440400000000000100e-04,1.033324741881617921e-04,6.471220962096201339e-05
8.961764705882353037e-06,1.443170000000000076e-04,1.035311904846774922e-04,6.483665617792540488e-05
9.124705882352941705e-06,1.443170000000000076e-04,1.035311904846774922e-04,6.483665617792540488e-05
9.287647058823530374e-06,1.443170000000000076e-04,1.035311904846774922e-04,6.483665617792540488e-05
9.450588235294120736e-06,1.443170000000000076e-04,1.035311904846774922e-04,6.483665617792540488e-05
9.613529411764706016e-06,1.443170000000000076e-04,1.035311904846774922e-04,6.483665617792540488e-05
9.776470588235296378e-06,1.443170000000000076e-04,1.035311904846774922e-04,6.483665617792540488e-05
9.939411764705883352e-06,1.440400000000000100e-04,1.033324741881617921e-04,6.471220962096201339e-05
1.010235294117647202e-05,1.440400000000000100e-04,1.033324741881617921e-04,6.471220962096201339e-05
1.026529411764705899e-05,1.440400000000000100e-04,1.033324741881617921e-04,6.471220962096201339e-05
1.042823529411764766e-05,1.440400000000000100e-04,1.033324741881617921e-04,6.471220962096201339e-05
1.059117647058823803e-05,1.440400000000000100e-04,1.033324741881617921e-04,6.471220962096201339e-05
1.075411764705882331e-05,1.440400000000000100e-04,1.033324741881617921e-04,6.471220962096201339e-05
1.091705882352941367e-05,1.440400000000000100e-04,1.033324741881617921e-04,6.471220962096201339e-05
1.107999999999999895e-05,1.440400000000000100e-04,1.033324741881617921e-04,6.471220962096201339e-05
1.124294117647059100e-05,1.440400000000000100e-04,1.033324741881617921e-04,6.471220962096201339e-05
1.140588235294117628e-05,1.443170000000000076e-04,1.035311904846774922e-04,6.483665617792540488e-05
1.156882352941176495e-05,1.443170000000000076e-04,1.035311904846774922e-04,6.483665617792540488e-05
1.173176470588235532e-05,1.443170000000000076e-04,1.035311904846774922e-04,6.483665617792540488e-05
1.189470588235294060e-05,1.443170000000000076e-04,1.035311904846774922e-04,6.483665617792540488e-05
1.205764705882353096e-05,1.443170000000000076e-04,1.035311904846774922e-04,6.483665617792540488e-05
1.222058823529411624e-05,1.443170000000000076e-04,1.035311904846774922e-04,6.483665617792540488e-05
1.238352941176470829e-05,1.443170000000000076e-04,1.035311904846774922e-04,6.483665617792540488e-05
1.254647058823529527e-05,1.443170000000000076e-04,1.035311904846774922e-04,6.483665617792540488e-05
1.270941176470588394e-05,1.443170000000000076e-04,1.035311904846774922e-04,6.483665617792540488e-05
1.287235294117647260e-05,1.440400000000000100e-04,1.033324741881617921e-04,6.471220962096201339e-05
1.303529411764705958e-05,1.440400000000000100e-04,1.033324741881617921e-04,6.471220962096201339e-05
1.319823529411764825e-05,1.440400000000000100e-04,1.033324741881617921e-04,6.471220962096201339e-05
1.336117647058823353e-05,1.440400000000000100e-04,1.033324741881617921e-04,6.471220962096201339e-05
1.352411764705882558e-05,1.440400000000000100e-04,1.033324741881617921e-04,6.471220962096201339e-05
1.368705882352941256e-05,1.440400000000000100e-04,1.033324741881617921e-04,6.471220962096201339e-05
1.385000000000000123e-05,1.443170000000000076e-04,1.035311904846774922e-04,6.483665617792540488e-05
1.401294117647058989e-05,1.443170000000000076e-04,1.035311904846774922e-04,6.483665617792540488e-05
1.417588235294118026e-05,1.443170000000000076e-04,1.035311904846774922e-04,6.483665617792540488e-05
1.433882352941176554e-05,1.443170000000000076e-04,1.035311904846774922e-04,6.483665617792540488e-05
1.450176470588235251e-05,1.443170000000000076e-04,1.035311904846774922e-04,6.483665617792540488e-05
1.466470588235294287e-05,1.443170000000000076e-04,1.035311904846774922e-04,6.483665617792540488e-05
1.482764705882352985e-05,1.443170000000000076e-04,1.035311904846774922e-04,6.483665617792540488e-05
1.499058823529412021e-05,1.443170000000000076e-04,1.035311904846774922e-04,6.483665617792540488e-05
1.515352941176470718e-05,1.443170000000000076e-04,1.035311904846774922e-04,6.483665617792540488e-05
1.531647058823529755e-05,1.443170000000000076e-04,1.035311904846774922e-04,6.483665617792540488e-05
1.547941176470588452e-05,1.445940000000000051e-04,1.037299067811931787e-04,6.496110273488878281e-05
1.564235294117646811e-05,1.445940000000000051e-04,1.037299067811931787e-04,6.496110273488878281e-05
1.580529411764706186e-05,1.445940000000000051e-04,1.037299067811931787e-04,6.496110273488878281e-05
1.596823529411764544e-05,1.443170000000000076e-04,1.035311904846774922e-04,6.483665617792540488e-05
1.613117647058823581e-05,1.443170000000000076e-04,1.035311904846774922e-04,6.483665617792540488e-05
1.629411764705882617e-05,1.445940000000000051e-04,1.037299067811931787e-04,6.496110273488878281e-05
1.645705882352941653e-05,1.445940000000000051e-04,1.037299067811931787e-04,6.496110273488878281e-05
1.662000000000000012e-05,1.445940000000000051e-04,1.037299067811931787e-04,6.496110273488878281e-05
1.678294117647058709e-05,1.445940000000000051e-04,1.037299067811931787e-04,6.496110273488878281e-05
1.694588235294117745e-05,1.445940000000000051e-04,1.037299067811931787e-04,6.496110273488878281e-05
1.710882352941176443e-05,1.448710000000000026e-04,1.039286230777088788e-04,6.508554929185217429e-05
1.727176470588235140e-05,1.448710000000000026e-04,1.039286230777088788e-04,6.508554929185217429e-05
1.743470588235294176e-05,1.448710000000000026e-04,1.039286230777088788e-04,6.508554929185217429e-05
1.759764705882353213e-05,1.448710000000000026e-04,1.039286230777088788e-04,6.508554929185217429e-05
1.776058823529411910e-05,1.448710000000000026e-04,1.039286230777088788e-04,6.508554929185217429e-05
1.792352941176470607e-05,1.451480000000000272e-04,1.041273393742245924e-04,6.520999584881557933e-05
1.808647058823529644e-05,1.451480000000000272e-04,1.041273393742245924e-04,6.520999584881557933e-05
1.824941176470588341e-05,1.451480000000000272e-04,1.041273393742245924e-04,6.520999584881557933e-05
1.841235294117647038e-05,1.451480000000000272e-04,1.041273393742245924e-04,6.520999584881557933e-05
1.857529411764706075e-05,1.451480000000000272e-04,1.041273393742245924e-04,6.520999584881557933e-05
1.873823529411764772e-05,1.454249999999999976e-04,1.043260556707402653e-04,6.533444240577894371e-05
1.890117647058824147e-05,1.451480000000000272e-04,1.041273393742245924e-04,6.520999584881557933e-05
1.906411764705882845e-05,1.451480000000000272e-04,1.041273393742245924e-04,6.520999584881557933e-05
1.922705882352941203e-05,1.451480000000000272e-04,1.041273393742245924e-04,6.520999584881557933e-05
1.938999999999999901e-05,1.451480000000000272e-04,1.041273393742245924e-04,6.520999584881557933e-05
1.955294117647059276e-05,1.454249999999999976e-04,1.043260556707402653e-04,6.533444240577894371e-05
1.971588235294117973e-05,1.454249999999999976e-04,1.043260556707402653e-04,6.533444240577894371e-05
1.987882352941176670e-05,1.454249999999999976e-04,1.043260556707402653e-04,6.533444240577894371e-05
2.004176470588235368e-05,1.454249999999999976e-04,1.043260556707402653e-04,6.533444240577894371e-05
2.020470588235294404e-05,1.454249999999999976e-04,1.043260556707402653e-04,6.533444240577894371e-05
2.036764705882353102e-05,1.457020000000000223e-04,1.045247719672559789e-04,6.545888896274234875e-05
2.053058823529411799e-05,1.457020000000000223e-04,1.045247719672559789e-04,6.545888896274234875e-05
2.069352941176470835e-05,1.457020000000000223e-04,1.045247719672559789e-04,6.545888896274234875e-05
2.085647058823529533e-05,1.457020000000000223e-04,1.045247719672559789e-04,6.545888896274234875e-05
2.101941176470588569e-05,1.457020000000000223e-04,1.045247719672559789e-04,6.545888896274234875e-05
2.118235294117647605e-05,1.459790000000000198e-04,1.047234882637716790e-04,6.558333551970574023e-05
2.134529411764706303e-05,1.459790000000000198e-04,1.047234882637716790e-04,6.558333551970574023e-05
2.150823529411764661e-05,1.459790000000000198e-04,1.047234882637716790e-04,6.558333551970574023e-05
2.167117647058823359e-05,1.459790000000000198e-04,1.047234882637716790e-04,6.558333551970574023e-05
2.183411764705882734e-05,1.459790000000000198e-04,1.047234882637716790e-04,6.558333551970574023e-05
2.199705882352941431e-05,1.462559999999999902e-04,1.049222045602873519e-04,6.570778207666910461e-05
2.215999999999999790e-05,1.462559999999999902e-04,1.049222045602873519e-04,6.570778207666910461e-05
2.232294117647059165e-05,1.462559999999999902e-04,1.049222045602873519e-04,6.570778207666910461e-05
2.248588235294118201e-05,1.462559999999999902e-04,1.049222045602873519e-04,6.570778207666910461e-05
2.264882352941176559e-05,1.462559999999999902e-04,1.049222045602873519e-04,6.570778207666910461e-05
2.281176470588235257e-05,1.465330000000000148e-04,1.051209208568030655e-04,6.583222863363250965e-05
2.297470588235294293e-05,1.465330000000000148e-04,1.051209208568030655e-04,6.583222863363250965e-05
2.313764705882352991e-05,1.465330000000000148e-04,1.051209208568030655e-04,6.583222863363250965e-05
2.330058823529411688e-05,1.465330000000000148e-04,1.051209208568030655e-04,6.583222863363250965e-05
2.346352941176471063e-05,1.465330000000000148e-04,1.051209208568030655e-04,6.583222863363250965e-05
2.362647058823529760e-05,1.468099999999999852e-04,1.053196371533187385e-04,6.595667519059588758e-05
2.378941176470588119e-05,1.468099999999999852e-04,1.053196371533187385e-04,6.595667519059588758e-05
2.395235294117647494e-05,1.468099999999999852e-04,1.053196371533187385e-04,6.595667519059588758e-05
2.411529411764706192e-05,1.468099999999999852e-04,1.053196371533187385e-04,6.595667519059588758e-05
2.427823529411764889e-05,1.468099999999999852e-04,1.053196371533187385e-04,6.595667519059588758e-05
2.444117647058823248e-05,1.470870000000000098e-04,1.055183534498344521e-04,6.608112174755927906e-05
2.460411764705882623e-05,1.470870000000000098e-04,1.055183534498344521e-04,6.608112174755927906e-05
2.476705882352941659e-05,1.470870000000000098e-04,1.055183534498344521e-04,6.608112174755927906e-05
2.493000000000000017e-05,1.470870000000000098e-04,1.055183534498344521e-04,6.608112174755927906e-05
2.509294117647059054e-05,1.470870000000000098e-04,1.055183534498344521e-04,6.608112174755927906e-05
2.525588235294117751e-05,1.473640000000000074e-04,1.057170697463501386e-04,6.620556830452267055e-05
2.541882352941176787e-05,1.473640000000000074e-04,1.057170697463501386e-04,6.620556830452267055e-05
2.558176470588235146e-05,1.473640000000000074e-04,1.057170697463501386e-04,6.620556830452267055e-05
2.574470588235294521e-05,1.473640000000000074e-04,1.057170697463501386e-04,6.620556830452267055e-05
2.590764705882353218e-05,1.473640000000000074e-04,1.057170697463501386e-04,6.620556830452267055e-05
2.607058823529411916e-05,1.476410000000000049e-04,1.059157860428658386e-04,6.633001486148606203e-05
2.623352941176470952e-05,1.476410000000000049e-04,1.059157860428658386e-04,6.633001486148606203e-05
2.639647058823529649e-05,1.476410000000000049e-04,1.059157860428658386e-04,6.633001486148606203e-05
2.655941176470588347e-05,1.476410000000000049e-04,1.059157860428658386e-04,6.633001486148606203e-05
2.672235294117646705e-05,1.476410000000000049e-04,1.059157860428658386e-04,6.633001486148606203e-05
2.688529411764706419e-05,1.479180000000000024e-04,1.061145023393815387e-04,6.645446141844943996e-05
2.704823529411765117e-05,1.479180000000000024e-04,1.061145023393815387e-04,6.645446141844943996e-05
2.721117647058824153e-05,1.479180000000000024e-04,1.061145023393815387e-04,6.645446141844943996e-05
2.737411764705882512e-05,1.479180000000000024e-04,1.061145023393815387e-04,6.645446141844943996e-05
2.753705882352941209e-05,1.479180000000000024e-04,1.061145023393815387e-04,6.645446141844943996e-05
2.770000000000000245e-05,1.481950000000000270e-04,1.063132186358972523e-04,6.657890797541284500e-05
2.786294117647058943e-05,1.481950000000000270e-04,1.063132186358972523e-04,6.657890797541284500e-05
2.802588235294117979e-05,1.481950000000000270e-04,1.063132186358972523e-04,6.657890797541284500e-05
